# gpu    fb  bar1    sm   mem   enc   dec
# Idx    MB    MB     %     %     %     %
    0  1210     8     4     0     0     0
    0  1578     8     4     0     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
# gpu    fb  bar1    sm   mem   enc   dec
# Idx    MB    MB     %     %     %     %
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
# gpu    fb  bar1    sm   mem   enc   dec
# Idx    MB    MB     %     %     %     %
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1932     8    23    10     0     0
    0  1352     8     4     0     0     0
    0    43     6     0     0     0     0
